country,code,healthexp_pct_gdp_2014,healthexp_pct_gdp_2015,healthexp_pct_gdp_2016,healthexp_pct_gdp_2017,healthexp_pct_gdp_2018,healthexp_pct_gdp_2019,healthexp_pct_gdp_2020,healthexp_pct_gdp_2021,healthexp_pct_gdp_2021 or latest,healthexp_PPP_2015,healthexp_usd_percap_2018,healthexp_usd_percap_2019,infant_mort_2020,mat_mort_2017
Thailand,THA,3.72,3.76,3.64,3.36,3.06,2.97,,,2.97,610,278.6,296.2,28.4,37
Timor-Leste,TLS,7.52,8.45,8.08,7.03,6.73,,,,,141,93.6,92.7,19.2,142
Togo,TGO,4.78,5.11,3.69,3.76,4.04,4.07,3.99,,3.99,96,54.9,51.2,7.4,396
Trinidad and Tobago,TTO,5.33,3.39,3.95,3.58,3.3,3.7,4.1,,4.1,"2,204",1143.2,1167.9,14.3,67
Tunisia,TUN,6.88,6.22,7.32,,,,,,,774,236.7,233.1,8.1,43
Turkiye,TUR,,,,,4.29,,,,,996,389.9,396.5,18.7,17
Turkmenistan,TKM,,,,,,3.12,,,3.12,"1,004",460.3,500,13.9,7
Uganda,UGA,1.91,2.32,2.14,2.25,2.13,1.53,2.59,2.67,2.67,139,32.1,32.4,6.9,
Ukraine,UKR,5.87,5.74,5.01,5.42,5.32,5.44,,,5.44,469,222.5,248.1,9.1,19
United Arab Emirates,ARE,,,,,,3.87,3.88,,3.88,"2,426",1817.3,1842.7,7.6,3
United Kingdom,GBR,5.56,5.51,5.38,5.38,5.17,,,,,"4,145",4270.2,4312.9,8.2,7
United States,USA,,4.95,4.8,5.11,4.91,,,,,"9,536",10515.3,10921,12.5,19
Uruguay,URY,4.58,4.55,4.38,4.47,4.66,4.7,,,4.7,"1,748",1686.1,1661,5.4,17
Uzbekistan,UZB,5.71,5.49,5.38,5.03,5.9,7,4.92,,4.92,383,82.3,98.6,12.9,29
Venezuela,VEN,,1.93,1.19,1.34,,,,,,579,464,338.8,,125
Vietnam,VNM,,4.47,4.34,4.09,4.17,4.06,,,4.06,334,163.2,180.7,21.1,43
Yemen,YEM,,,,,,,,,,144,,,25.8,164
Zambia,ZMB,5.2,4.62,3.75,3.73,4.74,4.47,3.7,,3.7,203,76.3,69.3,37.9,213
Zimbabwe,ZWE,6.14,5.81,5.47,5.82,3.87,,,,3.87,182,141.4,103,,458
